,PIVOT 1 : Market Value & Demand Overview,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,City,AVERAGE of Resale Price,Total cars per city,AVERAGE of Car Age,,,,,,
,Agra,484791.67,192,10.682,,,,,,
,Ahmedabad,730385.54,1315,9.123,,,,,,
,Bangalore,771709.53,1501,9.805,,,,,,
,Chandigarh,629265.64,434,9.445,,,,,,
,Chennai,964694.55,1339,9.122,,,,,,
,Delhi,2024335.29,510,7.988,,,,,,
,Gurgaon,897802.41,907,9.552,,,,,,
,Hyderabad,812664.62,1403,9.447,,,,,,\
,Jaipur,691106.95,882,9.942,,,,,,
,Kolkata,804555.84,1166,9.601,,,,,,
,Lucknow,573716.43,543,9.230,,,,,,
,Mumbai,913541.38,290,9.583,,,,,,
,Pune,756440.03,1384,10.328,,,,,,
,Grand Total,837234.3656,11866,9.533204113,,,,,,
