,,PIVOT 3 : Ownership & Usage Impact,,,
,,,,,
,,,,,
,,Owner Type,KM Bucket,COUNTA of Cars,AVERAGE of Resale Price
,,Fifth Owner,100k+,17,248411.76
,,,25-50k,1,107000.00
,,,50-100k,25,223840.00
,,Fifth Owner Total,,43,230837.21
,,First Owner,0-25k,1752,1341089.61
,,,100k+,730,636287.39
,,,25-50k,2517,938790.23
,,,50-100k,3300,740182.82
,,First Owner Total,,8299,918136.78
,,Fourth Owner,0-25k,2,1037500.00
,,,100k+,35,308785.71
,,,25-50k,3,169333.67
,,,50-100k,56,412446.43
,,Fourth Owner Total,,96,380078.14
,,No Owner,0-25k,27,3176370.37
,,,100k+,3,326666.67
,,,25-50k,5,519000.00
,,,50-100k,9,325555.56
,,No Owner Total,,44,2096977.27
,,Second Owner,0-25k,252,1030861.12
,,,100k+,406,494214.53
,,,25-50k,662,780860.49
,,,50-100k,1504,614049.21
,,Second Owner Total,,2824,673118.90
,,Third Owner,0-25k,23,1036652.17
,,,100k+,136,428603.78
,,,25-50k,94,764744.68
,,,50-100k,307,395500.01
,,Third Owner Total,,560,491852.89
,,Grand Total,,11866,837234.37
