Index,full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,Helper Col : Max_power,Max_power helper (Median)
0,2017 Maruti Baleno 1.2 Alpha,₹ 5.45 Lakh,2017,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Agra,10,50
1,2018 Tata Hexa XTA,₹ 10 Lakh,2018,2179 cc,Third Party insurance,Automatic,"70,000 Kms",First Owner,Diesel,153.86bhp,7,17.6 kmpl,MUV,Agra,86,
2,2015 Maruti Swift Dzire VXI,₹ 4.50 Lakh,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,83.14bhp,5,20.85 kmpl,Sedan,Agra,14,
3,2015 Maruti Swift Dzire VXI,₹ 4.50 Lakh,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,83.14bhp,5,20.85 kmpl,Sedan,Agra,14,
4,2009 Hyundai i10 Magna 1.1,₹ 1.60 Lakh,2009,1086 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Agra,5,
5,2015 Hyundai i20 Active 1.2,₹ 4.70 Lakh,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,81.86bhp,5,17.19 kmpl,Hatchback,Agra,86,
6,2017 Tata Tiago 1.05 Revotorq XZ,₹ 3.60 Lakh,2017,1047 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,69bhp,5,27.28 kmpl,Hatchback,Agra,0,
7,2010 Hyundai i10 Magna 1.1,₹ 2 Lakh,2010,1086 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Agra,5,
8,2016 Maruti Eeco 7 Seater Standard BSIV,₹ 3.70 Lakh,2016,1196 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,73bhp,7,15.37 kmpl,Minivans,Agra,0,
9,2009 Hyundai Santro Xing GL,₹ 1.20 Lakh,2009,1086 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,62bhp,5,,Hatchback,Agra,0,
10,2014 Honda Amaze E i-Vtech,₹ 3.30 Lakh,2014,1198 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,86.7bhp,5,18 kmpl,Sedan,Agra,70,
11,2018 Hyundai Xcent 1.2 VTVT SX,₹ 4.75 Lakh,2018,1197 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,81.86bhp,5,20.14 kmpl,Sedan,Agra,86,
12,2020 Maruti Ciaz Sigma BSIV,₹ 6.86 Lakh,2020,1462 cc,Third Party insurance,Manual,"50,000 Kms",Third Owner,Petrol,103.25bhp,5,21.56 kmpl,Sedan,Agra,25,
13,2021 Hyundai Venue SX Opt Executive Diesel,₹ 12.50 Lakh,2021,1493 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,98.6bhp,5,23.7 kmpl,SUV,Agra,60,
14,2021 Hyundai Venue SX Dual Tone Diesel BSIV,₹ 11 Lakh,2021,1396 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,89bhp,5,23.7 kmpl,SUV,Agra,0,
15,2019 Maruti Alto K10 VXI AGS Optional,₹ 3.95 Lakh,2019,998 cc,Third Party insurance,Automatic,"20,000 Kms",First Owner,Petrol,67.1bhp,5,23.95 kmpl,Hatchback,Agra,10,
16,2016 Maruti Wagon R LXI CNG,₹ 3.50 Lakh,2016,998 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,CNG,58.16bhp,5,26.6 kmpl,Hatchback,Agra,16,
17,2011 Toyota Etios VX,₹ 2.89 Lakh,2011,1496 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,88.7bhp,5,17.6 kmpl,Sedan,Agra,70,
18,2011 Toyota Corolla Altis Diesel D4DGL,₹ 2.82 Lakh,2011,1364 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,87.2bhp,5,21.43 kmpl,Sedan,Agra,20,
19,2021 Kia Sonet HTX Plus Turbo iMT BSVI,₹ 10 Lakh,2021,998 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,118.36bhp,5,18.2 kmpl,SUV,Agra,36,
20,2020 Maruti Ciaz Alpha BSVI,₹ 7.85 Lakh,2020,1462 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,103.25bhp,5,20.65 kmpl,Sedan,Agra,25,
21,2014 Ford Ecosport 1.5 DV5 MT Ambiente,₹ 3 Lakh,2014,1498 cc,Third Party insurance,Manual,"1,50,000 Kms",Third Owner,Diesel,89.84bhp,5,22.7 kmpl,SUV,Agra,84,
