Full Name,Resale Price,Registered Year,Engine Capacity (CC),Insurance,Transmission Type,Kms Driven,Owner Type,Fuel Type,Max Power,Seats,Mileage,Body Type,City,,Car Age,Age Bucket,KM Bucket,Price Band,Engine CC Bucket
2017 Maruti Baleno 1.2 Alpha,545000,2017,1197,Third Party,Manual,40000,First Owner,Petrol,10,5,21.4,Hatchback,Agra,DERIEVED COLUMNS,9,8-12,25-50k,Mid,1000-1500cc
2018 Tata Hexa XTA,1000000,2018,2179,Third Party,Automatic,70000,First Owner,Diesel,86,7,17.6,Muv,Agra,,8,8-12,50-100k,High,2000cc+
2015 Maruti Swift Dzire VXI,450000,2015,1197,Third Party,Manual,70000,Second Owner,Petrol,14,5,20.85,Sedan,Agra,,11,8-12,50-100k,Mid,1000-1500cc
2009 Hyundai i10 Magna 1.1,160000,2009,1086,Third Party,Manual,80000,First Owner,Petrol,5,5,19.81,Hatchback,Agra,,17,12+,50-100k,Low,1000-1500cc
2015 Hyundai i20 Active 1.2,470000,2015,1197,Third Party,Manual,70000,First Owner,Petrol,86,5,17.19,Hatchback,Agra,,11,8-12,50-100k,Mid,1000-1500cc
2017 Tata Tiago 1.05 Revotorq XZ,360000,2017,1047,Third Party,Manual,120000,First Owner,Diesel,50,5,27.28,Hatchback,Agra,,9,8-12,100k+,Mid,1000-1500cc
2010 Hyundai i10 Magna 1.1,200000,2010,1086,Third Party,Manual,60000,Second Owner,Petrol,5,5,19.81,Hatchback,Agra,,16,12+,50-100k,Low,1000-1500cc
2016 Maruti Eeco 7 Seater Standard BSIV,370000,2016,1196,Third Party,Manual,20000,First Owner,Petrol,50,7,15.37,Minivans,Agra,,10,8-12,0-25k,Mid,1000-1500cc
2009 Hyundai Santro Xing GL,120000,2009,1086,Third Party,Manual,30000,First Owner,Petrol,50,5,,Hatchback,Agra,,17,12+,25-50k,Low,1000-1500cc
2014 Honda Amaze E i-Vtech,330000,2014,1198,Third Party,Manual,70000,First Owner,Petrol,70,5,18,Sedan,Agra,,12,8-12,50-100k,Mid,1000-1500cc
2018 Hyundai Xcent 1.2 VTVT SX,475000,2018,1197,Third Party,Manual,60000,Second Owner,Petrol,86,5,20.14,Sedan,Agra,,8,8-12,50-100k,Mid,1000-1500cc
2020 Maruti Ciaz Sigma BSIV,686000,2020,1462,Third Party,Manual,50000,Third Owner,Petrol,25,5,21.56,Sedan,Agra,,6,4-7,25-50k,Mid,1000-1500cc
2021 Hyundai Venue SX Opt Executive Diesel,1250000,2021,1493,Third Party,Manual,60000,First Owner,Diesel,60,5,23.7,Suv,Agra,,5,4-7,50-100k,Premium,1000-1500cc
2021 Hyundai Venue SX Dual Tone Diesel BSIV,1100000,2021,1396,Third Party,Manual,60000,First Owner,Diesel,50,5,23.7,Suv,Agra,,5,4-7,50-100k,High,1000-1500cc
2019 Maruti Alto K10 VXI AGS Optional,395000,2019,998,Third Party,Automatic,20000,First Owner,Petrol,10,5,23.95,Hatchback,Agra,,7,4-7,0-25k,Mid,<1000cc
2016 Maruti Wagon R LXI CNG,350000,2016,998,Third Party,Manual,40000,First Owner,Cng,16,5,26.6,Hatchback,Agra,,10,8-12,25-50k,Mid,<1000cc
2011 Toyota Etios VX,289000,2011,1496,Third Party,Manual,50000,Second Owner,Petrol,70,5,17.6,Sedan,Agra,,15,12+,25-50k,Low,1000-1500cc
2011 Toyota Corolla Altis Diesel D4DGL,282000,2011,1364,Third Party,Manual,150000,First Owner,Diesel,20,5,21.43,Sedan,Agra,,15,12+,100k+,Low,1000-1500cc
2021 Kia Sonet HTX Plus Turbo iMT BSVI,1000000,2021,998,Third Party,Manual,10000,First Owner,Petrol,36,5,18.2,Suv,Agra,,5,4-7,0-25k,High,<1000cc
2020 Maruti Ciaz Alpha BSVI,785000,2020,1462,Third Party,Manual,30000,Second Owner,Petrol,25,5,20.65,Sedan,Agra,,6,4-7,25-50k,High,1000-1500cc
2014 Ford Ecosport 1.5 DV5 MT Ambiente,300000,2014,1498,Third Party,Manual,150000,Third Owner,Diesel,84,5,22.7,Suv,Agra,,12,8-12,100k+,Low,1000-1500cc
